date,sine_up,sine_down,sine_off_up,sine_off_down,rnd0,rnd1,noisy_up,noisy_down
2000-01-03,50.0,50.0,70.0,130.0,52.65546121050579,45.93547119215522,50.91704784811953,53.05081379863928
2000-01-04,51.545084971874736,48.454915028125264,68.45491502812526,131.54508497187473,51.78381987013558,46.92789801721752,55.959562351485744,49.40669947523326
2000-01-05,52.93892626146236,47.06107373853764,67.06107373853763,132.93892626146237,52.565580716435946,47.8346005049717,54.61060188446892,50.56397671140219
2000-01-06,54.045084971874736,45.954915028125264,65.95491502812526,134.04508497187473,51.62652339663052,47.20159344517089,55.43005869929274,49.13683043033043
2000-01-07,54.75528258147577,45.24471741852423,65.24471741852423,134.75528258147577,52.286248347041195,49.98254728016024,56.23661507796305,48.79948736655059
2000-01-10,55.0,45.0,65.0,135.0,50.07036632708695,46.66955467866367,58.947814297830334,49.26230173344765
2000-01-11,54.75528258147577,45.24471741852423,65.24471741852423,134.75528258147577,52.299205104801764,48.77306623042195,58.678199617410925,46.19475395045177
2000-01-12,54.045084971874736,45.954915028125264,65.95491502812526,134.04508497187473,51.774764879053734,47.65320044847147,55.48707542761423,47.4136281156459
2000-01-13,52.93892626146236,47.06107373853764,67.06107373853763,132.93892626146237,54.915172148514,45.611058731491866,54.22502021916109,47.231559140675934
2000-01-14,51.545084971874736,48.454915028125264,68.45491502812526,131.54508497187473,52.11831279286737,49.25821699723186,52.654952653233494,53.023770470196254
2000-01-17,50.0,50.0,70.0,130.0,53.01635992384009,49.032672574713686,52.46506278482035,54.52910285265646
2000-01-18,48.454915028125264,51.545084971874736,71.54508497187473,128.45491502812527,51.631330727404816,49.995361713289824,49.39270697915463,54.0034850910998
2000-01-19,47.06107373853764,52.93892626146236,72.93892626146237,127.06107373853763,51.135802957697344,47.95763100864278,47.89673474745573,57.472420927442855
2000-01-20,45.954915028125264,54.045084971874736,74.04508497187473,125.95491502812527,51.956859689141666,47.03281693703611,48.97206493097149,55.16512787405055
2000-01-21,45.24471741852423,54.75528258147577,74.75528258147577,125.24471741852423,54.487599694074305,46.1551987259352,48.50503393773939,55.73501954761759
2000-01-24,45.0,55.0,75.0,125.0,53.094770818908145,49.729258295906476,46.27776528789612,58.571390042248005
2000-01-25,45.24471741852423,54.75528258147577,74.75528258147577,125.24471741852423,52.313951993663345,45.31438480634674,45.314037706276935,56.09959856239258
2000-01-26,45.954915028125264,54.045084971874736,74.04508497187474,125.95491502812526,54.529025033188155,49.520867424423614,48.084420347730834,58.398482138611165
2000-01-27,47.06107373853763,52.93892626146237,72.93892626146237,127.06107373853763,50.09950376095834,48.516791657084454,51.29226658224498,57.530491593272245
2000-01-28,48.454915028125264,51.545084971874736,71.54508497187474,128.45491502812527,52.40914311294118,49.87330873522824,50.197413049403714,54.114172267132616
2000-01-31,50.0,50.0,70.0,130.0,52.418491152448624,45.39551145721367,52.964578092532136,50.927103142162935
2000-02-01,51.545084971874736,48.454915028125264,68.45491502812527,131.54508497187473,50.1310430903581,49.348599653280154,52.22630517296647,48.552810677405375
2000-02-02,52.93892626146236,47.06107373853764,67.06107373853763,132.93892626146237,52.15980728019168,46.83237106583026,57.823529183161554,51.70785173768079
2000-02-03,54.045084971874736,45.954915028125264,65.95491502812527,134.04508497187473,52.3971112512663,48.09739412892941,58.53833091957673,47.17706540658677
